----------------------------------------
Begin PBS Prologue Fri Jan 27 19:45:02 EST 2017 1485564302
Job ID:		77173546.gm-1r16-n04.guillimin.clumeq.ca
Username:	akashi
Group:		rck-371-01
Nodes:		aw-4r14-n19
End PBS Prologue Fri Jan 27 19:45:02 EST 2017 1485564302
----------------------------------------
Unsteady: 100000, 1.000000, 0, 0, vanleer, 0.200000, 0.200000, 1
setup: Selected Van Leer flux
Euler1dExplicit: Using 1-stage TVD RK scheme; loaded coefficients.
Euler1dExplicit: run(): Step 2190 - Time = 0.002847
Euler1dExplicit: run(): Step 2200 - Time = 0.002860
Euler1dExplicit: run(): Step 2210 - Time = 0.002873
Euler1dExplicit: run(): Step 2220 - Time = 0.002886
Euler1dExplicit: run(): Step 2230 - Time = 0.002899
Euler1dExplicit: run(): Step 2240 - Time = 0.002912
Euler1dExplicit: run(): Step 2250 - Time = 0.002925
Euler1dExplicit: run(): Step 2260 - Time = 0.002938
Euler1dExplicit: run(): Step 2270 - Time = 0.002951
Euler1dExplicit: run(): Step 2280 - Time = 0.002964
Euler1dExplicit: run(): Step 2290 - Time = 0.002977
Euler1dExplicit: run(): Step 2300 - Time = 0.002990
Euler1dExplicit: run(): Step 2310 - Time = 0.003003
Euler1dExplicit: run(): Step 2320 - Time = 0.003016
Euler1dExplicit: run(): Step 2330 - Time = 0.003029
Euler1dExplicit: run(): Step 2340 - Time = 0.003042
Euler1dExplicit: run(): Step 2350 - Time = 0.003055
Euler1dExplicit: run(): Step 2360 - Time = 0.003068
Euler1dExplicit: run(): Step 2370 - Time = 0.003081
Euler1dExplicit: run(): Step 2380 - Time = 0.003094
Euler1dExplicit: run(): Step 2390 - Time = 0.003107
Euler1dExplicit: run(): Step 2400 - Time = 0.003120
Euler1dExplicit: run(): Step 2410 - Time = 0.003133
Euler1dExplicit: run(): Step 2420 - Time = 0.003146
Euler1dExplicit: run(): Step 2430 - Time = 0.003159
Euler1dExplicit: run(): Step 2440 - Time = 0.003172
Euler1dExplicit: run(): Step 2450 - Time = 0.003185
Euler1dExplicit: run(): Step 2460 - Time = 0.003198
Euler1dExplicit: run(): Step 2470 - Time = 0.003211
Euler1dExplicit: run(): Step 2480 - Time = 0.003224
Euler1dExplicit: run(): Step 2490 - Time = 0.003237
Euler1dExplicit: run(): Step 2500 - Time = 0.003250
Euler1dExplicit: run(): Step 2510 - Time = 0.003263
Euler1dExplicit: run(): Step 2520 - Time = 0.003276
Euler1dExplicit: run(): Step 2530 - Time = 0.003289
Euler1dExplicit: run(): Step 2540 - Time = 0.003302
Euler1dExplicit: run(): Step 2550 - Time = 0.003315
Euler1dExplicit: run(): Step 2560 - Time = 0.003328
Euler1dExplicit: run(): Step 2570 - Time = 0.003341
Euler1dExplicit: run(): Step 2580 - Time = 0.003354
Euler1dExplicit: run(): Step 2590 - Time = 0.003367
Euler1dExplicit: run(): Step 2600 - Time = 0.003380
Euler1dExplicit: run(): Step 2610 - Time = 0.003393
Euler1dExplicit: run(): Step 2620 - Time = 0.003406
Euler1dExplicit: run(): Step 2630 - Time = 0.003419
Euler1dExplicit: run(): Step 2640 - Time = 0.003432
Euler1dExplicit: run(): Step 2650 - Time = 0.003445
Euler1dExplicit: run(): Step 2660 - Time = 0.003458
Euler1dExplicit: run(): Step 2670 - Time = 0.003471
